freq (GHz),abs(Gamma),uabs(Gamma) (var)
2.0,0.24811148423061186,0.0012840882937051649
4.0,0.2480195794157675,0.0012845892837289692
6.0,0.2479704395156725,0.0012850743718707065
8.0,0.24793280917183305,0.001285519264849824
10.0,0.24789624640609426,0.0012859477807787164
12.0,0.24785690542086275,0.0012863644191048722
14.0,0.2478136817881179,0.0012867644331390486
16.0,0.24776658070666957,0.001287152827450125
18.0,0.247716013932994,0.0012875462415268828
20.0,0.24766248085416,0.0012879661081764602
22.0,0.24760642748230152,0.0012884315135759169
24.0,0.24754819501256925,0.001288954902519691
26.0,0.2474880159442319,0.001289540709219539
28.0,0.24742520340209365,0.0012907662364082177
30.0,0.2473561499036903,0.0012938138901271092
32.0,0.24728417150734514,0.001294876344215721
34.0,0.24720982538048886,0.0012955739967433384
36.0,0.2471353942440349,0.0012955439349067051
38.0,0.2470577817627898,0.0012967767653365406
40.0,0.24698006648919155,0.0012965765338653493
42.0,0.24689992565430813,0.0012967500810419253
44.0,0.24681812662494568,0.0012969078245129635
46.0,0.24673816840382598,0.0012969554820195157
48.0,0.2466559933025427,0.0012968388714125769
50.0,0.24657322877778276,0.0012967682536263211
52.0,0.24648919153753268,0.0012969013688566991
54.0,0.24640403057435775,0.001296881968089206
56.0,0.24631948098492196,0.0012970598900495138
58.0,0.24623422757637967,0.001297238772893082
60.0,0.246147209598742,0.0012972439121709148
62.0,0.24605953589790477,0.001297271662389599
64.0,0.2459711740182166,0.0012973178709467944
66.0,0.24588209475572534,0.0012973787088954023
68.0,0.2457919853676039,0.0012976590781518505
70.0,0.2457012286451831,0.0012977042169452376
72.0,0.2456097077390229,0.0012977577697656623
74.0,0.2455174052830979,0.0012978169059483704
76.0,0.24542416201225745,0.0012979544406409502
78.0,0.24532991295546067,0.001298006114010992
80.0,0.2452349064713969,0.0012980574013517804
82.0,0.24513921452965126,0.001298151967078652
84.0,0.24504267020051387,0.0012982413838507761
86.0,0.24494526512682582,0.0012982651545962718
88.0,0.24484707389316523,0.0012982836159015775
90.0,0.2447479735793609,0.0012983351608383312
92.0,0.24464805841971143,0.0012983331090237267
94.0,0.24454729783449425,0.0012983535809536289
96.0,0.2444456809597786,0.0012983579084037645
98.0,0.2443433674083814,0.0012983405936771667
100.0,0.2442403519590845,0.001298288352816956
102.0,0.24413661109811557,0.001298225893952091
104.0,0.24403215173013065,0.0012981525592727122
106.0,0.24392698238860883,0.001298067779433644
108.0,0.24382111306829693,0.0012979710655315986
110.0,0.24371455507881878,0.0012978620015550192
112.0,0.24360732090094472,0.0012977402374273381
114.0,0.2434994567961672,0.0012976149968241682
116.0,0.24339093877340176,0.0012974652017869502
118.0,0.24328178213389068,0.0012973022221506184
120.0,0.24317200365465338,0.0012971258882051996
122.0,0.24306162061728057,0.0012969360711371147
124.0,0.24295065073424238,0.0012967326788212558
126.0,0.24283911208346093,0.0012965156519905907
128.0,0.2427270377078215,0.0012962899665682065
130.0,0.2426144291725596,0.0012960446602998449
132.0,0.24250130506834247,0.0012957858302625462
134.0,0.2423876847307362,0.001295513503726743
136.0,0.24227359246981506,0.0012952314287000858
138.0,0.24215904626740847,0.0012949315892103873
140.0,0.2420440602470688,0.0012946185355206296
142.0,0.24192865400815147,0.0012942923525340508
144.0,0.24181284704522618,0.0012939531386240814
146.0,0.24169665873703533,0.0012936010040929488
148.0,0.24158010832330531,0.0012932360698487085
150.0,0.24146321488941333,0.001292858466181851
