"Freq [GHz]","im(partialZo(1,sub_thickness)) []","im(partialZo(2,sub_thickness)) []"
2,3.37868222784978,1.90751922050473
4,2.56842897966037,1.45375993955644
6,2.32211502739066,1.30795932137296
8,2.30083314935876,1.29738686439674
10,2.36666022650449,1.34274963053742
12,2.44888110565606,1.4004182525031
14,2.51407402202225,1.44984666743234
16,2.54921603235204,1.48343955763209
18,2.55163730264748,1.49994067183545
20,2.52355281136051,1.5008044322978
22,2.46924566579237,1.4883948511257
24,2.39358029316418,1.46518002449869
26,2.30133563516717,1.43342559930732
28,2.29137070375001,1.3951187092357
30,2.35910851634839,1.41612831751568
32,2.35179703570991,1.40382405719377
34,2.30675510803781,1.38976238366479
36,2.13913367381227,1.31528779563825
38,2.18683221432281,1.32295161780073
40,2.02224343170714,1.24978820782985
42,2.03536938052248,1.18278820218425
44,1.8814545940037,1.2010678107741
46,1.84966857757674,1.137114509005
48,1.71218869362093,1.07916047812413
50,1.58711574566477,1.02680991600616
52,1.58343884631449,0.97967996250704
54,1.47270686005865,0.937399003387625
56,1.37295067433952,0.96191834819543
58,1.41123270705683,0.922439929463325
60,1.32151970871816,0.887317867908785
62,1.24120415131055,0.856171614394495
64,1.16950692673862,0.82863951304222
66,1.10567965501902,0.804379714064305
68,1.15447573519496,0.821636886328405
70,1.09648135730147,0.799578541501
72,1.04490554747214,0.78019079262454
74,0.999123982703975,0.763189214081035
76,1.02949511743032,0.748312651302855
78,0.98835647999472,0.735322454746425
80,0.95177885774926,0.72400147012601
82,0.919290151817965,0.737841527862785
84,0.945518263653195,0.7272270177356
86,0.91584060259314,0.7179220451433
88,0.889363368176475,0.709769292816575
90,0.909156293001255,0.702628041236265
92,0.884824021529215,0.69637279361246
94,0.897705234021965,0.690891950608105
96,0.908162206221455,0.68608655590639
98,0.8856629115209,0.69484693431367
100,0.865309849619115,0.689999601330335
102,0.846887526716035,0.685691763713905
104,0.830201887363205,0.681855998860525
106,0.815078707030395,0.67843293065149
108,0.80136041873281,0.675370367162305
110,0.78890628184535,0.67262251983592
112,0.77758935683115,0.67014928986795
114,0.767295842791395,0.67470833123279
116,0.75792370978939,0.672075496714475
118,0.749381223053845,0.66967760337613
120,0.74158644486355,0.667487138606875
122,0.734465664592355,0.66547999726497
124,0.727953071489975,0.66363507487298
126,0.721989555680805,0.66193391671886
128,0.716522191223705,0.66428393255046
130,0.71150356564094,0.66246717930657
132,0.70689136043298,0.66078319373219
134,0.70264777277555,0.659218619907665
136,0.69873840245719,0.66068426789672
138,0.695133002858215,0.659056570050905
140,0.691804262261135,0.657540980807295
142,0.688727770494035,0.656127439695445
144,0.685881498266345,0.654807020449265
146,0.68324583964624,0.65357179776237
148,0.680803306369685,0.652414736175975
150,0.678537970260383,0.651329587850167
