"Freq [GHz]","im(partialZo(1,match_width)) []","im(partialZo(2,step_width)) []"
2,-2.59304193175882,0
4,-1.7911140209751,0
6,-1.38687323632905,0
8,-1.13714799804712,0
10,-0.964951838049895,0
12,-0.83711625012869,0
14,-0.73720925572594,0
16,-0.656232014206435,0
18,-0.588861013564805,0
20,-0.53173934703236,0
22,-0.48263598842188,0
24,-0.44000024790679,0
26,-0.402714755275329,0
28,-0.370054268794389,0
30,-0.340322029813911,0
32,-0.314164736445595,0
34,-0.290829246187617,0
36,-0.269296770808303,0
38,-0.251402413885179,0
40,-0.234425352460634,0
42,-0.220498430172333,0
44,-0.207306608715467,0
46,-0.196345642542513,0
48,-0.186214594380067,0
50,-0.177431995825361,0
52,-0.170028627609928,0
54,-0.163246416813287,0
56,-0.157346973383605,0
58,-0.152211150409124,0
60,-0.147544231981659,0
62,-0.143441868979613,0
64,-0.139814983180411,0
66,-0.13658657678733,0
68,-0.133256352069213,0
70,-0.130547326481563,0
72,-0.128082657915859,0
74,-0.1258198606613,0
76,-0.123201542532482,0
78,-0.121201187399013,0
80,-0.119321178166004,0
82,-0.117539625094483,0
84,-0.115236288891331,0
86,-0.113586728653981,0
88,-0.111996385496933,0
90,-0.109864580360725,0
92,-0.108361763737397,0
94,-0.106362273533373,0
96,-0.104400433354882,0
98,-0.10300499780924,0
100,-0.101635526399752,0
102,-0.100288015592658,0
104,-0.098959186721755,0
106,-0.0976464127821015,0
108,-0.096347574179315,0
110,-0.095060959953419,0
112,-0.0937852164493015,0
114,-0.092519271330915,0
116,-0.091262259462886,0
118,-0.090013490624888,0
120,-0.088772430254004,0
122,-0.08753863897077,0
124,-0.0863117669594205,0
126,-0.08509152866035,0
128,-0.0838776853798015,0
130,-0.08267003606661,0
132,-0.081468397103416,0
134,-0.080272614254778,0
136,-0.07908253645794,0
138,-0.077898017692591,0
140,-0.076718925406501,0
142,-0.0755451130856695,0
144,-0.0743764564263125,0
146,-0.0732127999215215,0
148,-0.072054010974709,0
150,-0.0708999373420286,0
