"Freq [GHz]","re(partialZo(1,$er)) []","re(partialZo(2,$er)) []"
2,-7.03124665827935,-4.493521699069
4,-7.00034491078465,-4.47474106911199
6,-6.98570130105055,-4.46588635870567
8,-6.9763107031846,-4.46012730640833
10,-6.9694794677608,-4.45587541614994
12,-6.9640860751147,-4.4525212448421
14,-6.9595404711167,-4.44976158320878
16,-6.95553227249455,-4.44744153453234
18,-6.95191721550065,-4.44548572238941
20,-6.948641440829,-4.44385544183226
22,-6.94569037047035,-4.44252320485897
24,-6.9430579349401,-4.44146029953784
26,-6.94073118201405,-4.44063270331838
28,-6.9419789893938,-4.4400014771659
30,-6.9458164971065,-4.44358427175961
32,-6.94478676522635,-4.44344530937377
34,-6.9425915083622,-4.44289884526769
36,-6.9384964192279,-4.44118640226729
38,-6.93830858803305,-4.44140685867689
40,-6.93386499033575,-4.43950385516021
42,-6.93147853609765,-4.4377620464846
44,-6.92729870317915,-4.43711868346965
46,-6.92446480288855,-4.4354574967017
48,-6.92065008321285,-4.43392360014716
50,-6.91708831532965,-4.43250098217868
52,-6.9146655794466,-4.43117464454756
54,-6.91138351509285,-4.4299307741013
56,-6.90830495288225,-4.42929044055343
58,-6.9063908436917,-4.42806178369542
60,-6.90349946545875,-4.42689375711707
62,-6.9007738315978,-4.42577664489775
64,-6.89819853886945,-4.4247017387954
66,-6.8957593777928,-4.42366126985168
68,-6.89411541493635,-4.42293126917175
70,-6.8917937541107,-4.42188402477564
72,-6.8895835673627,-4.42085913944442
74,-6.88747411272195,-4.41985141572987
76,-6.88587821902415,-4.41885626987188
78,-6.88387087762615,-4.41786967870349
80,-6.8819441097198,-4.416888129316
82,-6.88008983110195,-4.41605596334908
84,-6.8785961456783,-4.41504732723211
86,-6.8768153273268,-4.41403918663141
88,-6.8750918004099,-4.41302932277771
90,-6.87364126868605,-4.41201583818783
92,-6.87197761130155,-4.41099712396528
94,-6.87053071373685,-4.40997182954298
96,-6.86908258781115,-4.4089388347412
98,-6.8674863895883,-4.40796490892159
100,-6.86592697763905,-4.40690081528504
102,-6.86440016890635,-4.40582843921101
104,-6.86290214593165,-4.40474718408823
106,-6.86142942841635,-4.40365658917193
108,-6.85997884667595,-4.40255631327877
110,-6.85854751646565,-4.4014461201197
112,-6.8571328153986,-4.40032586509929
114,-6.8557323608414,-4.3992262159258
116,-6.8543439896479,-4.39807972100049
118,-6.85296573894385,-4.39692394471782
120,-6.8515958287513,-4.39575892127739
122,-6.8502326458488,-4.39458473656069
124,-6.8488747289207,-4.39340152112524
126,-6.84752075503115,-4.39220944401517
128,-6.84616952716815,-4.39102492164046
130,-6.84481996293985,-4.38981262991267
132,-6.8434710843119,-4.38859257645997
134,-6.8421220081967,-4.38736498988501
136,-6.8407719378991,-4.38614214889885
138,-6.8394201554334,-4.38489802152148
140,-6.83806601451915,-4.38364745830067
142,-6.8367089341902,-4.38239072117444
144,-6.8353483930984,-4.38112808558757
146,-6.83398392425755,-4.37985983819503
148,-6.8326151103401,-4.37858627484394
150,-6.83124157944427,-4.37730769878268
