"Freq [GHz]","re(partialZo(1,sub_thickness)) []","re(partialZo(2,sub_thickness)) []"
2,661.86840358968,492.120292402827
4,662.35147979831,492.355038921979
6,662.14413704055,492.20142839336
8,661.6979828381,491.919700142714
10,661.149002892565,491.595746094875
12,660.54676099943,491.26023174786
14,659.91195186086,490.924082001028
16,659.255303805295,490.591395862265
18,658.58326719274,490.263635733329
20,657.89995087365,489.9410322721
22,657.207703600935,489.62315119621
24,656.507727608155,489.309230833971
26,655.800478699215,488.998412815576
28,655.07114274546,488.689909086913
30,654.239121231085,488.32515935
32,653.37434311338,487.948748618075
34,652.51110867557,487.578874145792
36,651.66556052028,487.221182065082
38,650.793599557725,486.858969386484
40,649.94789743962,486.511709804317
42,649.093813299935,486.180111985826
44,648.274416437225,485.850259075118
46,647.45870412686,485.540639569629
48,646.66825109721,485.244616537975
50,645.893840184,484.961286975681
52,645.116826970835,484.689879413869
54,644.367372568835,484.429738781505
56,643.631693946865,484.166530348537
58,642.890874571105,483.924994514705
60,642.177107243965,483.693847109939
62,641.47573338859,483.47268540951
64,640.786182822605,483.261163028238
66,640.10795806803,483.058980424379
68,639.423390629625,482.858605300714
70,638.76490027594,482.673528613744
72,638.11700405885,482.497317230552
74,637.479363484715,482.329762834506
76,636.84071802105,482.170678467551
78,636.22193763696,482.019894838225
80,635.61281758771,481.877257223368
82,635.01311717507,481.738216797796
84,634.413726132,481.611212971281
86,633.831865454855,481.492041095556
88,633.25895916818,481.380571021666
90,632.687865425425,481.276679766546
92,632.13216067939,481.180250396407
94,631.579456083575,481.091170955962
96,631.035379919565,481.009333629653
98,630.504752052605,480.932170200508
100,629.98236245255,480.864480205599
102,629.468074914895,480.803755988396
104,628.961767171745,480.749895813693
106,628.463324634825,480.702800205342
108,627.972638725455,480.662371869744
110,627.48960971663,480.628515150915
112,627.014143832265,480.601135960999
114,626.54615133929,480.578845887107
116,626.08554848814,480.564164685152
118,625.632255528715,480.555694822762
120,625.18619670586,480.55334496095
122,624.747297938635,480.557024955501
124,624.315489656295,480.566645681279
126,623.89070327818,480.58211896966
128,623.472873964135,480.602622256919
130,623.061937006335,480.629562652264
132,622.65783118179,480.662099298826
134,622.26049528992,480.700146718897
136,621.86986939315,480.743091487491
138,621.48589578457,480.79192719501
140,621.108516773335,480.84602397152
142,620.737675849025,480.905299336091
144,620.37331680949,480.969671694982
146,620.01538481988,481.039060288189
148,619.66382491413,481.113385247585
150,619.318583205545,481.192567506941
