"Freq [GHz]","re(partialZo(1,trace_thickness)) []","re(partialZo(2,trace_thickness)) []"
2,-13.2577352139143,-8.33639158263645
4,-14.7693451347704,-8.72565201944465
6,-15.4677815182258,-8.9114162528837
8,-15.8898260870421,-9.02633381037175
10,-16.1786144071876,-9.1062854196639
12,-16.3912583434543,-9.1658190903721
14,-16.555620212991,-9.2121848119777
16,-16.6871371833859,-9.2494770149489
18,-16.7951241162376,-9.2802039649937
20,-16.8855718276766,-9.3059950618295
22,-16.962524083419,-9.3279590006437
24,-17.0288221709963,-9.3468804081629
26,-17.086529364457,-9.36333317352305
28,-17.1358907543549,-9.3777495875407
30,-17.1783096904902,-9.3880686106186
32,-17.2177194518335,-9.39902477948265
34,-17.2534690316517,-9.4090317114194
36,-17.2864461061261,-9.41872369553415
38,-17.3147725565696,-9.42643176510475
40,-17.342122200503,-9.4345165103438
42,-17.3662966436421,-9.44181065911395
44,-17.3890951969321,-9.44776457932905
46,-17.409501883912,-9.4537962250759
48,-17.4286124424785,-9.45923269176525
50,-17.4461098331161,-9.46412509481385
52,-17.4617943035937,-9.4685185051588
54,-17.4765516576074,-9.47245272219245
56,-17.490081847994,-9.475580583283
58,-17.5021245971162,-9.4787594911791
60,-17.513551476998,-9.4815677312399
62,-17.5240127587628,-9.48403040686605
64,-17.5335785268183,-9.4861700121393
66,-17.5423115097615,-9.4880067524433
68,-17.5500393958128,-9.48935310772105
70,-17.5573148759097,-9.49066809008195
72,-17.5639061753374,-9.49172643081
74,-17.5698549637848,-9.49254179528385
76,-17.5750657756227,-9.49312660574895
78,-17.5798665023488,-9.4934921872126
80,-17.5841259336069,-9.49364887794345
82,-17.5878731350765,-9.4934956638497
84,-17.5910502410477,-9.49327852250125
86,-17.5938692328247,-9.4928767874961
88,-17.5962476931986,-9.49229794109905
90,-17.5981479160816,-9.49154888642165
92,-17.5997201753637,-9.49063600563595
94,-17.6008657075508,-9.4895652156655
96,-17.601658860058,-9.48834200118505
98,-17.6021480677543,-9.4869183980036
100,-17.6022986327409,-9.4854130439401
102,-17.6021243566151,-9.48376867062365
104,-17.6016381533705,-9.4819895115164
106,-17.6008520924721,-9.48007952977935
108,-17.5997775230366,-9.4780424456339
110,-17.5984250302591,-9.47588175167935
112,-17.5968046411202,-9.47360073667325
114,-17.5949257452705,-9.47117726321315
116,-17.592797185193,-9.46866834570005
118,-17.5904273628246,-9.46604746478555
120,-17.5878241427737,-9.46331727962245
122,-17.5849950173164,-9.4604803030545
124,-17.5819470464197,-9.4575389217229
126,-17.5786869617774,-9.4544953962033
128,-17.5752211308989,-9.45133810909205
130,-17.5715555955939,-9.4480985597463
132,-17.5676961248722,-9.444762765584
134,-17.5636481920629,-9.4413326004623
136,-17.5594170474822,-9.4377996498255
138,-17.5550076478086,-9.4341873932182
140,-17.5504248053116,-9.4304856948475
142,-17.5456730422776,-9.4266961126164
144,-17.5407567408622,-9.4228201339072
146,-17.5356800636002,-9.4188591759667
148,-17.5304470349004,-9.41481458991645
150,-17.5250614790166,-9.41068766638505
